N°;LIEU;ADRESSE;CP;Dept;;Latitude;Longitude;LIEN CHARGEMAP;;
15;AUCHAN  ;Route d'Arques;62219;62;LONGUENESSE;50.760835;2.304408;;;
16;AUCHAN  ;28, avenue de Paris;95230;95;SOISY SOUS MONTMORENCY;48.989718;2.29163;;;
17;AUCHAN  ;La Paoute - 158 Rte de Cannes;6131;6;GRASSE;43.63476 ;6.951789;;;
18;AUCHAN  ;Petite Arche Route de Paris RN 10;37100;37;TOURS;47.42782;0.69874;;;
19;AUCHAN  ;Route d'Amiens RN44 ;44807;44;ST HERBLAIN;47.210335 ;-1.651444;;;
20;AUCHAN  ;Avenue Paul Eluard ;13503;13;MARTIGUES;43.421933;5.053506;;;
21;AUCHAN  ;Av du Marechal Joffre;94124;94;FONTENAY SOUS BOIS;48.852815 ;2.477534;;;
22;AUCHAN  ;Le Grand Epagny ;74330;74;EPAGNY;45.938877 ;6.071591;;;
23;AUCHAN  ;Rue de l'ancienne Route Nationale 40;59760;59;GRANDE SYNTHE;51.032703 ;2.298463;;;
24;AUCHAN  ;Avenue Pierre Mendes France;45140;45;SAINT JEAN DE LA RUELLE;47.904247;1.865243;;;
25;AUCHAN  ;ZUP de la Forêt RN 10;86100;86;CHATELLERAULT;46.816487;0.548146;;;
26;AUCHAN  ;2 rue Pierre Mendes France ;44230;44;SAINT SEBASTIEN SUR LOIRE;47.192388;-1.491936;;;
27;AUCHAN  ;Route de Gueret - Terre Neuve;3410;3;DOMERAT;46.360989;2.533002;;;
28;AUCHAN  ;CC Le Grand Havre - La Lézarde;76290;76;MONTIVILLIERS;49.542538; 0.19336;;;
29;AUCHAN  ;99 Rue Pierre Gilles De Genne;41350;41;VINEUIL;47.57347; 1.372572;;;
30;AUCHAN  ;Route de Boulogne;62100;62;CALAIS;50.672565 ;1.814806;;;
31;AUCHAN  ;4 Avenue de la voie Domitienne;34536;34;BEZIERS;43.347895;3.245531;http://fr.chargemap.com/points/details/auchan-beziers;;
32;AUCHAN  ;2, rue Jean Jaurès;59161;59;ESCAUDOEUVRES;50.195677; 3.269576;;;
33;AUCHAN  ;6 rue Claude Bernard;62000;62;ARRAS;50.299044 ;2.735659;;;
34;AUCHAN  ;Centre Commercial Plein Sud-Rte d'Issoire;63170;63;AUBIERE;45.75294;3.12805;;;
35;AUCHAN  ;Route Nationale  ;59320;59;ENGLOS;50.63206; 2.96671;;;
36;AUCHAN  ;Boulevard Lobau;54000;54;NANCY;48.68043;6.19879;;;
37;AUCHAN  ;Boulevard Etienne Clémentel ;63100;63;CLERMONT-FERRAND;45.81139; 3.10859;;;
38;AUCHAN  ;ZAC du Belvédère ;76371;76;DIEPPE; 49.91100;1.07764;;;
39;AUCHAN  ;Route Nationale 45;59494;59;PETITE FORET;50.37599; 3.47938;;;
40;AUCHAN  ;Avenue du Général Horne;59300;59;VALENCIENNES; 50.34559; 3.51891;;;
41;AUCHAN  ;Centre commercial RN 10;86360;86;CHASSENEUIL DU POITOU;46.66580;0.36979;;;
42;AUCHAN  ;Avenue de l'Europe;60180;60;NOGENT SUR OISE;49.27170;2.48341;;;
43;AUCHAN  ;ZI 10 Chemin Petit ;69300;69;FONTENAY SOUS BOIS;45.80508; 4.85813;;;
44;AUCHAN  ;Centre Commercial  Porte des Alpes - Boulevard Boulloche;69800;69;SAINT PRIEST;45.72279;4.92501;;;
45;AUCHAN  ;Chemin de Montravel ;42390;42;VILLARS;45.47318;4.34169;;;
46;AUCHAN  ;Centre Commercial Grand Sud, ZI Chartreuse, Route de Toulouse;81100;81;CASTRES;43.58860;2.18816;;;
47;AUCHAN  ;Plaine de corsac ;43700;43;BRIVES CHARENSAC;45.04950; 3.91478;;;
48;AUCHAN  ;Centre Commercial RD 338;02300;02;VIRY NOUREUIL;49.64375; 3.25926;;;
49;AUCHAN  ;Centre Commercial du Cotentin - Route Nationale 13;50470;50;LA GLACERIE;49.60296; -1.60006;;;
50;AUCHAN  ;Lieu Dit Blozier- CD 419;90160;90;BESSONCOURT;47.64011;6.91607;;;
51;AUCHAN  ;Centre Commercial Noyon Sud/RN - 32/ZAC du Mont Renaud;60402;60;NOYON;49.57003;2.97637;;;
52;AUCHAN  ;Centre commercial, ZAC de la fontaine au brun ;44570;44;TRIGNAC;47.30152; -2.20928;;;
53;AUCHAN  ;1 avenue de l'Europe;59115;59;LEERS;50.68072;3.22097;;;
54;AUCHAN  ;1 avenue Descartes ;60000;60;BEAUVAIS;49.40971; 2.11504;;;
55;AUCHAN  ;Quartier Quintrand - Route de Sisteron;04200;04;MANOSQUE;43.85029;5.82287;;;
56;AUCHAN  ;ZI Zinsel - BP 330;67507;67;SCHWEIGHOUSE;48.83293;7.74191;;;
57;AUCHAN  ;Route de Carnon-Centre commercial Plein Sud ;34475;34;PEROLS;43.57264;3.94217;;;
58;AUCHAN  ;ZI 10 Chemin Petit ;69300;69;CALUIRE;45.80508;4.85813;;;
59;AUCHAN  ;224, avenue Charles de Gaulle;71000;71;MACON;46.32422; 4.83913;;;
60;AUCHAN  ;Boulevard Charles de Gaulle ;37540;37;SAINT CYR SUR LOIRE;47.42593;0.65677;;;
61;AUCHAN  ;ZAC du Moulin aux Moines ;72650;72;LA CHAPELLE ST AUBIN;48.04200;0.17463;;;
62;AUCHAN  ;1 Rue de la Fabrique;45500;45;GIEN; 47.68805;2.62035;;;
63;AUCHAN  ;Route de Bordeaux;16400;16;LA COURONNE;45.61948;0.10525;;;
64;AUCHAN  ;Route de Paris;80044;80;AMIENS ;49.86228; 2.27983;;;
65;AUCHAN  ;Avenue de Verdun;45160;45;OLIVET;47.86719;1.91162;;;
66;AUCHAN  ;Route de Vendeville;59155;59;FACHES THUMESNIL;50.58307;3.08120;;;
67;AUCHAN  ;RN 111 Route de Bordeaux ;47300;47;BIAS;44.40449;0.67200;;;
