LIEU;Type;ADRESSE;CP;Dept;VILLE;Code concession;Directeur Concession Nissan;;Téléphone;Latitude;Longitude;LIEN CHARGEMAP;;
Concession NISSAN;DC Chademo - 44 kWh;30 rue des Guillees;79180;79;CHAURAY;7909;EMAURE;Philippe;05-49-08-28-88;46.3413432;-0.3756316000000197;http://fr.chargemap.com/points/details/nissan-chauray-carliance;;
Concession NISSAN;DC Chademo - 44 kWh;1 rue du Prieuré;59260;59;HELLEMMES;5906;IMPINES;Laurent;03-20-19-01-50;50.6268234;3.1304830000000265;;;
Concession NISSAN;DC Chademo - 44 kWh;"85, Route de Cazaux

";33260;33;LA TESTE DE BUCH;3302;PIRON;Cyril;06-70-75-54-41;44.608231;"-1.13119

";;;
Concession NISSAN;DC Chademo - 44 kWh;71 route de Thionville;57050;57;METZ;5719;LEVITA;Victor;03-87-30-00-31;49.136194;6.16901;;;
Concession NISSAN;DC Chademo - 44 kWh;15 boulevard du président Kennedy;65000;65;TARBES;6501;RAOUX;Alain;05-62-34-81-00;43.2197341;0.08724269999993339;;;
Concession NISSAN;DC Chademo - 44 kWh;6402 Avenue Santos Dumont;64230;64;LESCAR;6402;DELAHAYE;Frédéric;03 23 64 01 80;43.32055709999999;-0.4229186000000027;;;
Concession NISSAN;DC Chademo - 44 kWh;Route d’Objat, Avenue André Malraux;19100;19;BRIVE;1905;BOUYGUES;Christian;05-55-17-10-17;45.16249759999999;1.489207800000031;;;
Concession NISSAN;DC Chademo - 44 kWh;49 Avenue du Général de Gaulle;2100;02;SAINT QUENTIN;202;;;03-23-64-01-80;49.8448274;3.299211000000014;;;
NISSAN WEST EUROPE TRAINING;DC Chademo - 44 kWh;Ave Jean d'Alembert;78190;78;TRAPPES;;;;;48.794111;1.981708;;;
Siège NISSAN France;DC Chademo - 44 kWh;2 Rue René Caudron;78690;78;VOISINS LE BRETONNEUX;;;;;48.7604544;2.062337100000036;;;
; ;;;;;;;;;;;;;
