ID_station;nom_station;adresse_station;latitude;longitude;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations;source
VinciPark- Capitole;VinciPark- Capitole;Place du Capitole 31000 TOULOUSE;43.6043;1.44356;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Capitole;VinciPark- Capitole;Place du Capitole 31000 TOULOUSE;43.6043;1.44356;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Capitole;VinciPark- Capitole;Place du Capitole 31000 TOULOUSE;43.6043;1.44356;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Capitole;VinciPark- Capitole;Place du Capitole 31000 TOULOUSE;43.6043;1.44356;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Capitole;VinciPark- Capitole;Place du Capitole 31000 TOULOUSE;43.6043;1.44356;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Peiresc;VinciPark- Peiresc;Rue de Lorgues 83000 TOULON;43.1236;5.93549;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Peiresc;VinciPark- Peiresc;Rue de Lorgues 83000 TOULON;43.1236;5.93549;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Mayol;VinciPark- Mayol;Boulevard Dutasta 83000 TOULON;43.1194;5.93506;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Mayol;VinciPark- Mayol;Boulevard Dutasta 83000 TOULON;43.1194;5.93506;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Mayol;VinciPark- Mayol;Boulevard Dutasta 83000 TOULON;43.1194;5.93506;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
VinciPark- Mayol;VinciPark- Mayol;Boulevard Dutasta 83000 TOULON;43.1194;5.93506;Sodetrel;normale;1;TE-T3;2014-11-20T00:00:00Z;Point de charge accessible suivant les conditions d'accès au parking VinciPark. Pour plus de renseignement www.vincipark.sodetrel.fr;Vincipark
